,aika,ala,eri,euroopan,ihminen,kansa,keisari,kenraali,kuningas,luku,oikeus,osa,pietari,sota
aika,1.0,0.3544567823410034,0.27350759506225586,0.24426302313804626,0.7012535333633423,0.15387792885303497,-0.08391131460666656,0.03640127182006836,0.17021477222442627,0.33212554454803467,0.6454561352729797,0.21192868053913116,0.13105712831020355,0.06853121519088745
ala,0.3544567823410034,1.0,-0.03311719000339508,-0.019019480794668198,0.34340497851371765,0.008026288822293282,-0.15462085604667664,-0.0006860449211671948,0.17151924967765808,0.13911724090576172,0.4712008535861969,-0.10842286795377731,0.395938903093338,-0.24031175673007965
eri,0.27350759506225586,-0.03311719000339508,1.0,0.7069277167320251,0.16226837038993835,0.2953712046146393,-0.1604168564081192,-0.06333243101835251,-0.18492047488689423,-0.017663495615124702,0.3155041038990021,0.7084061503410339,-0.07284020632505417,0.35776641964912415
euroopan,0.24426302313804626,-0.019019480794668198,0.7069277167320251,1.0,0.0338728129863739,0.19389060139656067,-0.02526470459997654,0.08378797769546509,-0.049683403223752975,0.12259796261787415,0.3393798768520355,0.5500720143318176,0.03709157556295395,0.6639536023139954
ihminen,0.7012535333633423,0.34340497851371765,0.16226837038993835,0.0338728129863739,1.0,0.15916302800178528,-0.1435716450214386,0.08034751564264297,0.06475621461868286,0.10214145481586456,0.6921704411506653,0.2595021724700928,0.2670319676399231,-0.11679191142320633
kansa,0.15387792885303497,0.008026288822293282,0.2953712046146393,0.19389060139656067,0.15916302800178528,1.0,0.16189518570899963,0.10677687078714371,0.13029156625270844,-0.04085809364914894,0.2447628676891327,0.2731008231639862,0.175715371966362,0.17031152546405792
keisari,-0.08391131460666656,-0.15462085604667664,-0.1604168564081192,-0.02526470459997654,-0.1435716450214386,0.16189518570899963,1.0,0.7636266946792603,0.6756300330162048,0.10696280002593994,-0.034349191933870316,-0.1537202149629593,0.4818820655345917,0.42412471771240234
kenraali,0.03640127182006836,-0.0006860449211671948,-0.06333243101835251,0.08378797769546509,0.08034751564264297,0.10677687078714371,0.7636266946792603,1.0,0.4352690279483795,0.25732970237731934,0.10484421998262405,0.12419918924570084,0.5735282897949219,0.4079712927341461
kuningas,0.17021477222442627,0.17151924967765808,-0.18492047488689423,-0.049683403223752975,0.06475621461868286,0.13029156625270844,0.6756300330162048,0.4352690279483795,1.0,0.09737653285264969,0.10658063739538193,-0.20327000319957733,0.6965166330337524,0.3177560269832611
luku,0.33212554454803467,0.13911724090576172,-0.017663495615124702,0.12259796261787415,0.10214145481586456,-0.04085809364914894,0.10696280002593994,0.25732970237731934,0.09737653285264969,0.9999999403953552,0.11015398800373077,0.2923170030117035,0.09454260021448135,0.2847747504711151
oikeus,0.6454561352729797,0.4712008535861969,0.3155041038990021,0.3393798768520355,0.6921704411506653,0.2447628676891327,-0.034349191933870316,0.10484421998262405,0.10658063739538193,0.11015398800373077,0.9999999403953552,0.1819687783718109,0.20670145750045776,0.20990940928459167
osa,0.21192868053913116,-0.10842286795377731,0.7084061503410339,0.5500720143318176,0.2595021724700928,0.2731008231639862,-0.1537202149629593,0.12419918924570084,-0.20327000319957733,0.2923170030117035,0.1819687783718109,1.0,0.0774843841791153,0.40876704454421997
pietari,0.13105712831020355,0.395938903093338,-0.07284020632505417,0.03709157556295395,0.2670319676399231,0.175715371966362,0.4818820655345917,0.5735282897949219,0.6965166330337524,0.09454260021448135,0.20670145750045776,0.0774843841791153,1.0,0.20083662867546082
sota,0.06853121519088745,-0.24031175673007965,0.35776641964912415,0.6639536023139954,-0.11679191142320633,0.17031152546405792,0.42412471771240234,0.4079712927341461,0.3177560269832611,0.2847747504711151,0.20990940928459167,0.40876704454421997,0.20083662867546082,1.0
